time,heart rate,temperature
1654298909395,0,22.81
1654298910737,0,22.77
1654298912070,0,22.81
1654298913415,0,22.75
1654298914746,0,22.81
1654298916091,0,22.75
1654298917445,0,22.81
1654298918788,0,22.77
1654298920123,0,22.81
1654298921468,0,29.75
1654298922796,0,38.29
1654298924140,0,37.25
1654298925482,0,39.75
1654298926828,0,30.67
1654298928156,0,28.99
1654298929501,0,26.87
1654298930835,0,32.69
1654298932181,0,33.93
1654298933513,0,28.01
1654298934855,0,30.71
1654298936189,0,30.51
1654298937534,0,30.25
1654298938864,0,29.37
1654298940211,0,32.75
1654298941544,0,41.71
1654298942888,0,35.37
1654298944216,0,36.95
1654298945559,0,37.29
1654298946889,0,36.53
1654298948230,0,38.55
1654298949560,0,35.39
1654298950904,0,34.43
1654298952238,0,34.33
1654298953581,0,34.01
1654298954911,0,33.21
1654298956257,44,30.97
1654298957589,44,32.69
1654298958934,44,30.99
1654298960268,37,29.19
1654298961611,40,43.07
1654298962942,60,33.69
1654298964284,60,31.97
1654298965612,61,31.89
1654298967001,79,31.95
1654298968335,69,31.49
1654298969728,71,30.91
1654298971059,120,24.11
1654298972403,123,23.81
1654298973610,109,25.99
1654298974802,121,27.67
1654298975993,106,35.07
1654298977190,106,45.39
1654298978371,73,44.91
1654298979567,73,44.23
1654298980749,73,42.93
1654298981941,73,38.09
1654298983126,50,44.23
1654298984318,50,44.33
1654298985498,45,41.01
1654298986696,46,39.13
1654298987882,54,37.71
1654298989075,127,35.39
1654298990254,122,33.29
1654298991572,112,36.39
1654298992755,111,33.79
1654298993948,112,32.85
1654298995129,112,32.03
1654298996323,125,31.83
1654298997503,127,31.49
1654298998700,125,32.11
1654298999904,127,32.67
1654299001100,125,32.83
1654299002279,127,34.01
1654299003474,129,34.01
1654299004656,131,33.71
1654299005854,130,33.03
1654299007038,131,33.63
1654299008233,131,34.93
1654299009417,130,36.47
1654299010613,132,34.97
1654299011793,130,34.33
1654299012989,131,27.25
1654299014173,131,31.49
1654299015368,130,32.35
