heart rate,temperature,time
1654293088101,88,27.31
1654293089286,86,27.21
1654293090483,85,27.23
1654293091667,81,27.23
1654293092875,79,27.17
1654293094056,79,27.21
1654293095253,80,27.31
1654293096438,81,27.29
1654293097635,81,27.31
1654293098818,85,27.23
1654293100014,88,27.31
1654293101193,91,27.31
1654293102391,94,27.31
1654293103591,94,27.47
1654293104784,91,27.37
1654293105963,89,27.35
1654293107156,85,27.23
1654293108342,82,27.25
1654293109535,81,27.31
1654293110713,82,27.31
1654293111909,86,27.31
1654293113099,80,27.35
1654293114297,81,27.41
1654293115480,82,27.53
1654293116677,83,27.61
1654293117861,83,27.49
1654293119073,91,27.37
1654293120255,91,27.31
1654293121453,92,27.35
1654293122636,90,27.43
1654293123832,88,27.31
1654293125016,87,27.31
1654293126213,87,27.29
1654293127403,86,27.29
1654293128598,86,27.43
1654293129778,87,27.41
1654293130971,86,27.47
1654293132152,85,27.69
1654293133348,78,28.39
1654293134536,79,28.63
1654293135736,81,28.83
1654293136918,81,28.91
1654293138113,81,28.69
1654293139300,88,28.69
1654293140499,87,28.59
1654293141682,85,28.57
1654293142877,76,28.69
1654293144059,78,28.71
1654293145258,79,28.57
1654293146441,81,28.65
1654293147636,82,28.91
1654293148821,84,28.97
1654293150020,85,28.95
1654293151207,87,29.23
1654293152405,87,29.15
1654293153586,87,29.23
1654293154791,95,29.23
1654293155977,93,29.43
1654293157168,81,29.37
1654293158351,81,29.23
1654293159546,81,29.15
1654293160733,81,28.97
1654293161928,82,28.99
1654293163123,90,29.17
1654293164316,87,29.35
1654293165502,85,29.31
1654293166698,85,29.29
1654293167885,85,29.19
1654293169082,86,29.15
1654293170261,87,29.03
1654293171457,86,29.25
1654293172640,85,29.57
1654293173837,86,29.65
1654293175020,76,29.43
1654293176216,75,29.35
1654293177410,75,29.45
1654293178607,77,29.23
1654293179786,78,29.05
1654293180977,78,28.99
1654293182157,85,28.99
1654293183359,85,29.05
1654293184540,65,29.17
1654293185734,66,29.17
1654293186917,65,29.31
1654293188115,65,29.31
1654293189298,66,29.39
1654293190493,66,29.69
1654293191678,53,29.79
1654293192874,66,29.55
1654293194056,65,29.55
1654293195247,66,29.55
1654293196430,66,29.37
1654293197623,89,29.43
1654293198803,78,29.39
1654293200000,78,29.39
1654293201180,77,29.49
1654293202372,77,29.39
1654293203556,78,29.43
1654293204754,79,29.39
1654293205942,88,29.37
1654293207140,85,29.45
1654293208319,85,27.91
1654293209510,85,28.43
1654293210690,76,25.87
1654293211886,78,24.51
1654293213068,81,22.95
1654293214262,82,23.65
1654293215444,82,27.05
1654293216641,82,30.23
1654293217823,80,32.67
1654293219021,79,32.75
1654293220209,79,34.93
1654293221407,71,24.57
1654293222589,70,23.47
1654293223784,78,23.47
1654293224977,77,23.47
1654293226169,76,23.41
1654293227350,75,23.23
1654293228542,85,23.63
1654293229725,85,30.71
1654293230924,86,34.61
1654293232105,86,34.63
1654293233298,86,34.85
1654293234482,86,35.21
1654293235684,88,35.43
1654293236867,88,36.29
1654293238064,86,35.37
1654293239245,86,34.77
1654293240443,85,35.29
1654293241625,84,35.81
1654293242817,84,36.05
1654293244005,85,35.85
1654293245210,86,35.67
1654293246396,85,35.63
1654293247589,85,35.71
1654293248768,84,35.67
1654293249965,85,35.83
1654293251150,86,35.77
1654293252347,85,35.93
1654293253528,85,35.71
1654293254721,84,35.53
1654293255907,96,35.63
1654293257103,94,35.69
1654293258286,95,35.71
1654293259481,98,35.53
1654293260663,99,35.27
1654293261858,91,35.45
1654293263042,90,35.75
1654293264237,89,35.81
1654293265419,99,35.69
1654293266613,112,35.71
1654293267797,116,35.71
1654293268996,116,35.77
1654293270189,109,35.85
1654293271391,100,35.99
1654293272575,93,41.71
1654293273772,82,43.51
1654293274959,81,41.57
1654293276155,87,40.83
1654293277338,84,40.13
1654293278540,84,39.45
1654293279722,93,39.09
1654293280918,96,38.75
1654293282114,86,38.49
1654293283347,89,38.27
1654293284675,89,38.01
1654293286028,88,37.83
1654293287358,87,37.69
1654293288704,85,37.45
1654293290039,83,37.01
1654293291386,84,37.19
1654293292730,85,37.05
1654293294075,84,37.03
1654293295403,84,36.95
1654293296748,85,36.85
1654293298080,84,36.77
1654293299424,84,36.71
1654293300755,86,36.77
1654293302100,87,36.65
1654293303429,90,36.71
1654293304775,89,36.65
1654293306105,80,36.65
1654293307452,78,36.61
1654293308788,78,36.53
1654293310142,78,36.55
1654293311474,77,27.95
1654293312818,87,26.05
1654293314157,88,25.53
1654293315505,87,25.41
1654293316836,89,25.37
1654293318181,90,25.17
1654293319509,87,25.31
1654293320855,89,25.25
1654293322188,86,25.23
1654293323535,87,24.89
1654293324867,88,25.13
1654293326211,88,26.99
1654293327541,89,28.43
1654293328884,89,23.11
1654293330236,90,22.71
1654293331580,91,22.75
1654293332906,90,22.81
1654293334252,90,22.81
1654293335586,89,22.71
1654293336929,89,23.17
1654293338259,92,22.99
1654293339602,94,22.93
1654293340939,97,22.87
1654293342285,98,23.03
1654293343617,98,23.05
1654293344962,74,23.23
1654293346288,72,23.23
1654293347630,74,23.29
1654293348997,72,23.41
1654293350343,69,23.47
1654293351676,80,23.71
1654293353022,77,24.99
1654292776147,0,28.33
1654292777399,0,28.37
1654292778633,0,28.37
1654292779877,0,28.43
1654292781108,0,28.31
1654292782358,0,28.37
1654292783594,87,28.27
