time,heart rate,temperature
1654300035380,0,27.35
1654300037029,0,27.43
1654300038264,0,26.93
1654300039509,116,26.97
1654300040741,131,27.09
1654300041989,131,33.03
1654300043226,132,33.33
1654300044516,134,33.43
1654300045751,135,32.85
1654300046998,136,32.85
1654300048301,135,32.85
1654300049646,133,32.53
1654300050975,131,32.33
1654300052320,131,31.85
1654300053652,129,32.19
1654300054999,130,33.17
1654300056329,131,33.13
1654300057723,134,33.87
1654300059085,135,34.39
1654300060428,136,34.43
1654300061762,121,34.25
1654300063103,121,34.13
1654300064434,119,34.17
1654300065778,131,33.73
1654300067112,129,32.19
1654300068457,129,29.25
1654300069786,128,22.81
1654300071127,128,24.33
1654300072458,113,24.57
1654300073802,113,24.65
1654300075134,113,24.65
1654300076478,125,24.63
1654300077809,123,24.63
1654300079157,122,24.59
1654300080487,122,24.77
1654300081831,122,24.99
1654300083164,122,24.93
1654300084558,122,24.87
1654300085890,122,24.87
1654300087236,122,24.35
1654300088567,122,24.63
1654300089911,122,25.05
1654300091241,90,24.93
1654300092585,90,24.27
1654300093919,90,24.41
1654300095263,90,24.33
1654300096592,47,23.27
1654300097951,47,23.23
1654300099283,45,23.71
1654300100626,42,23.85
1654300101957,46,23.39
1654300103305,87,23.21
